size,median
1KB,0.0006208419799804688
500KiB,0.011900901794433594
1MB,0.03094661235809326
10MB,0.319199800491333
20MB,0.6128188371658325
50MB,1.2933613061904907
100MB,2.1754305124282837
200MB,4.174664855003357
500MB,12.912033319473267
